"id","psis_code","psis_name","odef_v2_1_name","education_data_name","ref_date","start_date","end_date","Field of study","Program type","Credential type","Institution type","Registration status","Status of student in Canada","gender","value","facility_type","unit","street_no","street_name","city","prov_terr","postal_code","latitude","longitude","geom"
"30723306","12001000","Acadia University—Parent Institution","Acadia University","Acadia University, Nova Scotia","2018/2019","2018-09-01","2019-08-31","Sociology [45.11]","Graduate program (second cycle)","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Woman","9.0","University",NULL,"15","university avenue","Wolfville","NS","B4P2R6","45.08928002","-64.36815763","0101000020E6100000DD2705E58F1750C0090B17876D8B4640"
"30712254","12001000","Acadia University—Parent Institution","Acadia University","Acadia University, Nova Scotia","2018/2019","2018-09-01","2019-08-31","Natural resources and conservation [03.]","Undergraduate program","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Man","48.0","University",NULL,"15","university avenue","Wolfville","NS","B4P2R6","45.08928002","-64.36815763","0101000020E6100000DD2705E58F1750C0090B17876D8B4640"
"30712255","12001000","Acadia University—Parent Institution","Acadia University","Acadia University, Nova Scotia","2018/2019","2018-09-01","2019-08-31","Natural resources and conservation [03.]","Undergraduate program","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Woman","105.0","University",NULL,"15","university avenue","Wolfville","NS","B4P2R6","45.08928002","-64.36815763","0101000020E6100000DD2705E58F1750C0090B17876D8B4640"
"30712462","12001000","Acadia University—Parent Institution","Acadia University","Acadia University, Nova Scotia","2018/2019","2018-09-01","2019-08-31","Natural resources conservation and research [03.01]","Undergraduate program","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Man","48.0","University",NULL,"15","university avenue","Wolfville","NS","B4P2R6","45.08928002","-64.36815763","0101000020E6100000DD2705E58F1750C0090B17876D8B4640"
"30712463","12001000","Acadia University—Parent Institution","Acadia University","Acadia University, Nova Scotia","2018/2019","2018-09-01","2019-08-31","Natural resources conservation and research [03.01]","Undergraduate program","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Woman","105.0","University",NULL,"15","university avenue","Wolfville","NS","B4P2R6","45.08928002","-64.36815763","0101000020E6100000DD2705E58F1750C0090B17876D8B4640"
"30712646","12001000","Acadia University—Parent Institution","Acadia University","Acadia University, Nova Scotia","2018/2019","2018-09-01","2019-08-31","Area, ethnic, cultural, gender, and group studies [05.]","Undergraduate program","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Man","3.0","University",NULL,"15","university avenue","Wolfville","NS","B4P2R6","45.08928002","-64.36815763","0101000020E6100000DD2705E58F1750C0090B17876D8B4640"
"30712647","12001000","Acadia University—Parent Institution","Acadia University","Acadia University, Nova Scotia","2018/2019","2018-09-01","2019-08-31","Area, ethnic, cultural, gender, and group studies [05.]","Undergraduate program","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Woman","6.0","University",NULL,"15","university avenue","Wolfville","NS","B4P2R6","45.08928002","-64.36815763","0101000020E6100000DD2705E58F1750C0090B17876D8B4640"
"30712774","12001000","Acadia University—Parent Institution","Acadia University","Acadia University, Nova Scotia","2018/2019","2018-09-01","2019-08-31","Area studies [05.01]","Undergraduate program","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Man","0.0","University",NULL,"15","university avenue","Wolfville","NS","B4P2R6","45.08928002","-64.36815763","0101000020E6100000DD2705E58F1750C0090B17876D8B4640"
"30712886","12001000","Acadia University—Parent Institution","Acadia University","Acadia University, Nova Scotia","2018/2019","2018-09-01","2019-08-31","Ethnic, cultural minority, gender, and group studies [05.02]","Undergraduate program","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Man","0.0","University",NULL,"15","university avenue","Wolfville","NS","B4P2R6","45.08928002","-64.36815763","0101000020E6100000DD2705E58F1750C0090B17876D8B4640"
"30712887","12001000","Acadia University—Parent Institution","Acadia University","Acadia University, Nova Scotia","2018/2019","2018-09-01","2019-08-31","Ethnic, cultural minority, gender, and group studies [05.02]","Undergraduate program","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Woman","6.0","University",NULL,"15","university avenue","Wolfville","NS","B4P2R6","45.08928002","-64.36815763","0101000020E6100000DD2705E58F1750C0090B17876D8B4640"
