"id","psis_code","psis_name","odef_v2_1_name","education_data_name","ref_date","start_date","end_date","Field of study","Program type","Credential type","Institution type","Registration status","Status of student in Canada","gender","value","facility_type","unit","street_no","street_name","city","prov_terr","postal_code","latitude","longitude","geom"
"30676296","11001000","University of Prince Edward Island","University of Prince Edward Island","University of Prince Edward Island, Prince Edward Island","2018/2019","2018-09-01","2019-08-31","Agricultural and veterinary sciences/services/operations and related fields [01.]","Undergraduate program","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Man","51.0","University",NULL,"550","university ave","Charlottetown","PE","C1A4P3","46.25683891","-63.14193106","0101000020E6100000497E06CC2A924FC02865EF18E0204740"
"30676297","11001000","University of Prince Edward Island","University of Prince Edward Island","University of Prince Edward Island, Prince Edward Island","2018/2019","2018-09-01","2019-08-31","Agricultural and veterinary sciences/services/operations and related fields [01.]","Undergraduate program","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Woman","339.0","University",NULL,"550","university ave","Charlottetown","PE","C1A4P3","46.25683891","-63.14193106","0101000020E6100000497E06CC2A924FC02865EF18E0204740"
"30676298","11001000","University of Prince Edward Island","University of Prince Edward Island","University of Prince Edward Island, Prince Edward Island","2018/2019","2018-09-01","2019-08-31","Agricultural and veterinary sciences/services/operations and related fields [01.]","Undergraduate program","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Gender unknown","3.0","University",NULL,"550","university ave","Charlottetown","PE","C1A4P3","46.25683891","-63.14193106","0101000020E6100000497E06CC2A924FC02865EF18E0204740"
"30676408","11001000","University of Prince Edward Island","University of Prince Edward Island","University of Prince Edward Island, Prince Edward Island","2018/2019","2018-09-01","2019-08-31","Agricultural and veterinary sciences/services/operations and related fields [01.]","Graduate program (second cycle)","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Man","6.0","University",NULL,"550","university ave","Charlottetown","PE","C1A4P3","46.25683891","-63.14193106","0101000020E6100000497E06CC2A924FC02865EF18E0204740"
"30676409","11001000","University of Prince Edward Island","University of Prince Edward Island","University of Prince Edward Island, Prince Edward Island","2018/2019","2018-09-01","2019-08-31","Agricultural and veterinary sciences/services/operations and related fields [01.]","Graduate program (second cycle)","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Woman","30.0","University",NULL,"550","university ave","Charlottetown","PE","C1A4P3","46.25683891","-63.14193106","0101000020E6100000497E06CC2A924FC02865EF18E0204740"
"30676504","11001000","University of Prince Edward Island","University of Prince Edward Island","University of Prince Edward Island, Prince Edward Island","2018/2019","2018-09-01","2019-08-31","Agricultural and veterinary sciences/services/operations and related fields [01.]","Graduate program (third cycle)","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Man","6.0","University",NULL,"550","university ave","Charlottetown","PE","C1A4P3","46.25683891","-63.14193106","0101000020E6100000497E06CC2A924FC02865EF18E0204740"
"30676505","11001000","University of Prince Edward Island","University of Prince Edward Island","University of Prince Edward Island, Prince Edward Island","2018/2019","2018-09-01","2019-08-31","Agricultural and veterinary sciences/services/operations and related fields [01.]","Graduate program (third cycle)","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Woman","12.0","University",NULL,"550","university ave","Charlottetown","PE","C1A4P3","46.25683891","-63.14193106","0101000020E6100000497E06CC2A924FC02865EF18E0204740"
"30676576","11001000","University of Prince Edward Island","University of Prince Edward Island","University of Prince Edward Island, Prince Edward Island","2018/2019","2018-09-01","2019-08-31","Agricultural and veterinary sciences/services/operations and related fields [01.]","Non-program (credit, graduate)","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Woman","3.0","University",NULL,"550","university ave","Charlottetown","PE","C1A4P3","46.25683891","-63.14193106","0101000020E6100000497E06CC2A924FC02865EF18E0204740"
"30676712","11001000","University of Prince Edward Island","University of Prince Edward Island","University of Prince Edward Island, Prince Edward Island","2018/2019","2018-09-01","2019-08-31","Agriculture/veterinary preparatory programs [01.13]","Undergraduate program","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Man","12.0","University",NULL,"550","university ave","Charlottetown","PE","C1A4P3","46.25683891","-63.14193106","0101000020E6100000497E06CC2A924FC02865EF18E0204740"
"30676713","11001000","University of Prince Edward Island","University of Prince Edward Island","University of Prince Edward Island, Prince Edward Island","2018/2019","2018-09-01","2019-08-31","Agriculture/veterinary preparatory programs [01.13]","Undergraduate program","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Woman","120.0","University",NULL,"550","university ave","Charlottetown","PE","C1A4P3","46.25683891","-63.14193106","0101000020E6100000497E06CC2A924FC02865EF18E0204740"
"30676714","11001000","University of Prince Edward Island","University of Prince Edward Island","University of Prince Edward Island, Prince Edward Island","2018/2019","2018-09-01","2019-08-31","Agriculture/veterinary preparatory programs [01.13]","Undergraduate program","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Gender unknown","0.0","University",NULL,"550","university ave","Charlottetown","PE","C1A4P3","46.25683891","-63.14193106","0101000020E6100000497E06CC2A924FC02865EF18E0204740"
"30676952","11001000","University of Prince Edward Island","University of Prince Edward Island","University of Prince Edward Island, Prince Edward Island","2018/2019","2018-09-01","2019-08-31","Veterinary medicine (DVM) [01.80]","Undergraduate program","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Man","39.0","University",NULL,"550","university ave","Charlottetown","PE","C1A4P3","46.25683891","-63.14193106","0101000020E6100000497E06CC2A924FC02865EF18E0204740"
"30676953","11001000","University of Prince Edward Island","University of Prince Edward Island","University of Prince Edward Island, Prince Edward Island","2018/2019","2018-09-01","2019-08-31","Veterinary medicine (DVM) [01.80]","Undergraduate program","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Woman","219.0","University",NULL,"550","university ave","Charlottetown","PE","C1A4P3","46.25683891","-63.14193106","0101000020E6100000497E06CC2A924FC02865EF18E0204740"
"30676954","11001000","University of Prince Edward Island","University of Prince Edward Island","University of Prince Edward Island, Prince Edward Island","2018/2019","2018-09-01","2019-08-31","Veterinary medicine (DVM) [01.80]","Undergraduate program","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Gender unknown","0.0","University",NULL,"550","university ave","Charlottetown","PE","C1A4P3","46.25683891","-63.14193106","0101000020E6100000497E06CC2A924FC02865EF18E0204740"
"30677056","11001000","University of Prince Edward Island","University of Prince Edward Island","University of Prince Edward Island, Prince Edward Island","2018/2019","2018-09-01","2019-08-31","Veterinary medicine (DVM) [01.80]","Graduate program (second cycle)","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Man","0.0","University",NULL,"550","university ave","Charlottetown","PE","C1A4P3","46.25683891","-63.14193106","0101000020E6100000497E06CC2A924FC02865EF18E0204740"
"30677057","11001000","University of Prince Edward Island","University of Prince Edward Island","University of Prince Edward Island, Prince Edward Island","2018/2019","2018-09-01","2019-08-31","Veterinary medicine (DVM) [01.80]","Graduate program (second cycle)","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Woman","9.0","University",NULL,"550","university ave","Charlottetown","PE","C1A4P3","46.25683891","-63.14193106","0101000020E6100000497E06CC2A924FC02865EF18E0204740"
"30677136","11001000","University of Prince Edward Island","University of Prince Edward Island","University of Prince Edward Island, Prince Edward Island","2018/2019","2018-09-01","2019-08-31","Veterinary medicine (DVM) [01.80]","Graduate program (third cycle)","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Man","3.0","University",NULL,"550","university ave","Charlottetown","PE","C1A4P3","46.25683891","-63.14193106","0101000020E6100000497E06CC2A924FC02865EF18E0204740"
"30677137","11001000","University of Prince Edward Island","University of Prince Edward Island","University of Prince Edward Island, Prince Edward Island","2018/2019","2018-09-01","2019-08-31","Veterinary medicine (DVM) [01.80]","Graduate program (third cycle)","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Woman","12.0","University",NULL,"550","university ave","Charlottetown","PE","C1A4P3","46.25683891","-63.14193106","0101000020E6100000497E06CC2A924FC02865EF18E0204740"
"30677200","11001000","University of Prince Edward Island","University of Prince Edward Island","University of Prince Edward Island, Prince Edward Island","2018/2019","2018-09-01","2019-08-31","Veterinary medicine (DVM) [01.80]","Non-program (credit, graduate)","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Woman","3.0","University",NULL,"550","university ave","Charlottetown","PE","C1A4P3","46.25683891","-63.14193106","0101000020E6100000497E06CC2A924FC02865EF18E0204740"
"30677328","11001000","University of Prince Edward Island","University of Prince Edward Island","University of Prince Edward Island, Prince Edward Island","2018/2019","2018-09-01","2019-08-31","Veterinary biomedical and clinical sciences (Cert., MS, MSc, PhD) [01.81]","Graduate program (second cycle)","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Man","3.0","University",NULL,"550","university ave","Charlottetown","PE","C1A4P3","46.25683891","-63.14193106","0101000020E6100000497E06CC2A924FC02865EF18E0204740"
"30677329","11001000","University of Prince Edward Island","University of Prince Edward Island","University of Prince Edward Island, Prince Edward Island","2018/2019","2018-09-01","2019-08-31","Veterinary biomedical and clinical sciences (Cert., MS, MSc, PhD) [01.81]","Graduate program (second cycle)","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Woman","21.0","University",NULL,"550","university ave","Charlottetown","PE","C1A4P3","46.25683891","-63.14193106","0101000020E6100000497E06CC2A924FC02865EF18E0204740"
"30677424","11001000","University of Prince Edward Island","University of Prince Edward Island","University of Prince Edward Island, Prince Edward Island","2018/2019","2018-09-01","2019-08-31","Veterinary biomedical and clinical sciences (Cert., MS, MSc, PhD) [01.81]","Graduate program (third cycle)","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Man","0.0","University",NULL,"550","university ave","Charlottetown","PE","C1A4P3","46.25683891","-63.14193106","0101000020E6100000497E06CC2A924FC02865EF18E0204740"
"30677425","11001000","University of Prince Edward Island","University of Prince Edward Island","University of Prince Edward Island, Prince Edward Island","2018/2019","2018-09-01","2019-08-31","Veterinary biomedical and clinical sciences (Cert., MS, MSc, PhD) [01.81]","Graduate program (third cycle)","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Woman","3.0","University",NULL,"550","university ave","Charlottetown","PE","C1A4P3","46.25683891","-63.14193106","0101000020E6100000497E06CC2A924FC02865EF18E0204740"
"30677576","11001000","University of Prince Edward Island","University of Prince Edward Island","University of Prince Edward Island, Prince Edward Island","2018/2019","2018-09-01","2019-08-31","Natural resources and conservation [03.]","Undergraduate program","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Man","21.0","University",NULL,"550","university ave","Charlottetown","PE","C1A4P3","46.25683891","-63.14193106","0101000020E6100000497E06CC2A924FC02865EF18E0204740"
"30677577","11001000","University of Prince Edward Island","University of Prince Edward Island","University of Prince Edward Island, Prince Edward Island","2018/2019","2018-09-01","2019-08-31","Natural resources and conservation [03.]","Undergraduate program","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Woman","33.0","University",NULL,"550","university ave","Charlottetown","PE","C1A4P3","46.25683891","-63.14193106","0101000020E6100000497E06CC2A924FC02865EF18E0204740"
"30677680","11001000","University of Prince Edward Island","University of Prince Edward Island","University of Prince Edward Island, Prince Edward Island","2018/2019","2018-09-01","2019-08-31","Natural resources and conservation [03.]","Graduate program (second cycle)","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Man","3.0","University",NULL,"550","university ave","Charlottetown","PE","C1A4P3","46.25683891","-63.14193106","0101000020E6100000497E06CC2A924FC02865EF18E0204740"
"30677681","11001000","University of Prince Edward Island","University of Prince Edward Island","University of Prince Edward Island, Prince Edward Island","2018/2019","2018-09-01","2019-08-31","Natural resources and conservation [03.]","Graduate program (second cycle)","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Woman","6.0","University",NULL,"550","university ave","Charlottetown","PE","C1A4P3","46.25683891","-63.14193106","0101000020E6100000497E06CC2A924FC02865EF18E0204740"
"30677752","11001000","University of Prince Edward Island","University of Prince Edward Island","University of Prince Edward Island, Prince Edward Island","2018/2019","2018-09-01","2019-08-31","Natural resources and conservation [03.]","Graduate program (third cycle)","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Man","6.0","University",NULL,"550","university ave","Charlottetown","PE","C1A4P3","46.25683891","-63.14193106","0101000020E6100000497E06CC2A924FC02865EF18E0204740"
"30677753","11001000","University of Prince Edward Island","University of Prince Edward Island","University of Prince Edward Island, Prince Edward Island","2018/2019","2018-09-01","2019-08-31","Natural resources and conservation [03.]","Graduate program (third cycle)","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Woman","3.0","University",NULL,"550","university ave","Charlottetown","PE","C1A4P3","46.25683891","-63.14193106","0101000020E6100000497E06CC2A924FC02865EF18E0204740"
