"id","psis_code","psis_name","odef_v2_1_name","education_data_name","ref_date","start_date","end_date","Field of study","Program type","Credential type","Institution type","Registration status","Status of student in Canada","gender","value","facility_type","unit","street_no","street_name","city","prov_terr","postal_code","latitude","longitude","geom"
"34309684","60001000","Yukon College","Yukon University","Yukon College, Yukon","2018/2019","2018-09-01","2019-08-31","Education [13.]","Undergraduate program","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Man","3.0","Technical and Vocational",NULL,NULL,NULL,"Whitehorse","YT","Y1A5K4","60.75009095","-135.0977126","0101000020E610000007AD2C7620E360C046A3F1FA02604E40"
"38099459","60001000","Yukon College","Yukon University","Yukon College, Yukon","2019/2020","2019-09-01","2020-08-31","Criminology [45.04]","Undergraduate program","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Woman","12.0","Technical and Vocational",NULL,NULL,NULL,"Whitehorse","YT","Y1A5K4","60.75009095","-135.0977126","0101000020E610000007AD2C7620E360C046A3F1FA02604E40"
"34308268","60001000","Yukon College","Yukon University","Yukon College, Yukon","2018/2019","2018-09-01","2019-08-31","Natural resources and conservation [03.]","Career, technical or professional training program","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Man","9.0","Technical and Vocational",NULL,NULL,NULL,"Whitehorse","YT","Y1A5K4","60.75009095","-135.0977126","0101000020E610000007AD2C7620E360C046A3F1FA02604E40"
"34308269","60001000","Yukon College","Yukon University","Yukon College, Yukon","2018/2019","2018-09-01","2019-08-31","Natural resources and conservation [03.]","Career, technical or professional training program","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Woman","12.0","Technical and Vocational",NULL,NULL,NULL,"Whitehorse","YT","Y1A5K4","60.75009095","-135.0977126","0101000020E610000007AD2C7620E360C046A3F1FA02604E40"
"34308270","60001000","Yukon College","Yukon University","Yukon College, Yukon","2018/2019","2018-09-01","2019-08-31","Natural resources and conservation [03.]","Career, technical or professional training program","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Gender unknown","0.0","Technical and Vocational",NULL,NULL,NULL,"Whitehorse","YT","Y1A5K4","60.75009095","-135.0977126","0101000020E610000007AD2C7620E360C046A3F1FA02604E40"
"34308356","60001000","Yukon College","Yukon University","Yukon College, Yukon","2018/2019","2018-09-01","2019-08-31","Natural resources and conservation [03.]","Undergraduate program","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Man","6.0","Technical and Vocational",NULL,NULL,NULL,"Whitehorse","YT","Y1A5K4","60.75009095","-135.0977126","0101000020E610000007AD2C7620E360C046A3F1FA02604E40"
"34308357","60001000","Yukon College","Yukon University","Yukon College, Yukon","2018/2019","2018-09-01","2019-08-31","Natural resources and conservation [03.]","Undergraduate program","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Woman","12.0","Technical and Vocational",NULL,NULL,NULL,"Whitehorse","YT","Y1A5K4","60.75009095","-135.0977126","0101000020E610000007AD2C7620E360C046A3F1FA02604E40"
"34308358","60001000","Yukon College","Yukon University","Yukon College, Yukon","2018/2019","2018-09-01","2019-08-31","Natural resources and conservation [03.]","Undergraduate program","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Gender unknown","3.0","Technical and Vocational",NULL,NULL,NULL,"Whitehorse","YT","Y1A5K4","60.75009095","-135.0977126","0101000020E610000007AD2C7620E360C046A3F1FA02604E40"
"34308532","60001000","Yukon College","Yukon University","Yukon College, Yukon","2018/2019","2018-09-01","2019-08-31","Natural resources conservation and research [03.01]","Undergraduate program","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Man","3.0","Technical and Vocational",NULL,NULL,NULL,"Whitehorse","YT","Y1A5K4","60.75009095","-135.0977126","0101000020E610000007AD2C7620E360C046A3F1FA02604E40"
"34308533","60001000","Yukon College","Yukon University","Yukon College, Yukon","2018/2019","2018-09-01","2019-08-31","Natural resources conservation and research [03.01]","Undergraduate program","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Woman","3.0","Technical and Vocational",NULL,NULL,NULL,"Whitehorse","YT","Y1A5K4","60.75009095","-135.0977126","0101000020E610000007AD2C7620E360C046A3F1FA02604E40"
