"REF_DATE","GEO","DGUID","Field of study","Program type","Credential type","Institution type","Registration status","Status of student in Canada","Gender","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022/2023","University of Guelph, Ontario","","Agricultural and veterinary sciences/services/operations and related fields [01.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Man","Number","223","units","0","v1611836890","129.2.1.1.1.1.2.2","624","","","","0"
"2022/2023","University of Guelph, Ontario","","Agricultural and veterinary sciences/services/operations and related fields [01.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Woman","Number","223","units","0","v1611836891","129.2.1.1.1.1.2.3","1437","","","","0"
"2022/2023","University of Guelph, Ontario","","Agricultural and veterinary sciences/services/operations and related fields [01.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Gender unknown","Number","223","units","0","v1611836892","129.2.1.1.1.1.2.4","63","","","","0"
"2022/2023","University of Guelph, Ontario","","Agricultural and veterinary sciences/services/operations and related fields [01.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","International students","Man","Number","223","units","0","v1611836894","129.2.1.1.1.1.3.2","72","","","","0"
"2022/2023","University of Guelph, Ontario","","Agricultural and veterinary sciences/services/operations and related fields [01.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","International students","Woman","Number","223","units","0","v1611836895","129.2.1.1.1.1.3.3","153","","","","0"
"2022/2023","University of Guelph, Ontario","","Agricultural and veterinary sciences/services/operations and related fields [01.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","International students","Gender unknown","Number","223","units","0","v1611836896","129.2.1.1.1.1.3.4","18","","","","0"
"2022/2023","University of Guelph, Ontario","","Natural resources and conservation [03.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Man","Number","223","units","0","v1611842982","129.22.1.1.1.1.2.2","246","","","","0"
"2022/2023","University of Guelph, Ontario","","Natural resources and conservation [03.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Woman","Number","223","units","0","v1611842983","129.22.1.1.1.1.2.3","501","","","","0"
"2022/2023","University of Guelph, Ontario","","Natural resources and conservation [03.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Gender unknown","Number","223","units","0","v1611842984","129.22.1.1.1.1.2.4","21","","","","0"
"2022/2023","University of Guelph, Ontario","","Natural resources and conservation [03.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","International students","Man","Number","223","units","0","v1611842986","129.22.1.1.1.1.3.2","27","","","","0"
"2022/2023","University of Guelph, Ontario","","Natural resources and conservation [03.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","International students","Woman","Number","223","units","0","v1611842987","129.22.1.1.1.1.3.3","33","","","","0"
"2022/2023","University of Guelph, Ontario","","Natural resources and conservation [03.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","International students","Gender unknown","Number","223","units","0","v1611842988","129.22.1.1.1.1.3.4","6","","","","0"
"2022/2023","University of Guelph, Ontario","","Architecture and related services [04.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Man","Number","223","units","0","v1611844782","129.29.1.1.1.1.2.2","147","","","","0"
"2022/2023","University of Guelph, Ontario","","Architecture and related services [04.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Woman","Number","223","units","0","v1611844783","129.29.1.1.1.1.2.3","210","","","","0"
"2022/2023","University of Guelph, Ontario","","Architecture and related services [04.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Gender unknown","Number","223","units","0","v1611844784","129.29.1.1.1.1.2.4","9","","","","0"
"2022/2023","University of Guelph, Ontario","","Architecture and related services [04.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","International students","Man","Number","223","units","0","v1611844786","129.29.1.1.1.1.3.2","9","","","","0"
"2022/2023","University of Guelph, Ontario","","Architecture and related services [04.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","International students","Woman","Number","223","units","0","v1611844787","129.29.1.1.1.1.3.3","12","","","","0"
"2022/2023","University of Guelph, Ontario","","Architecture and related services [04.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","International students","Gender unknown","Number","223","units","0","v1611844788","129.29.1.1.1.1.3.4","6","","","","0"
